Starting pid: 20256@DESKTOP-5SNUBJS
GC name:Copy
GC name:MarkSweepCompact
new size:2000000
start:202847 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(86 ms)
start:203610 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(98 ms)
start:204388 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(95 ms)
start:205153 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(88 ms)
start:205917 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(96 ms)
start:206674 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(97 ms)
start:207469 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(82 ms)
start:208230 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(86 ms)
start:208992 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(87 ms)
start:209793 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(93 ms)
start:210613 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(92 ms)
start:211387 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(102 ms)
start:212177 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(113 ms)
start:213080 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(97 ms)
start:213837 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(104 ms)
start:214664 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(97 ms)
start:215420 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(83 ms)
start:216262 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(73 ms)
start:217035 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(93 ms)
start:217877 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(89 ms)
start:218686 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(91 ms)
start:219489 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(100 ms)
start:220295 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(88 ms)
start:221055 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(108 ms)
start:221860 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(104 ms)
start:222672 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(0 ms)
start:222672 Name:MarkSweepCompact, action:end of major GC, gcCause:Allocation Failure(591 ms)
start:223933 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(44 ms)
start:224653 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(61 ms)
start:225378 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(85 ms)
start:226271 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(94 ms)
start:227061 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(86 ms)
start:228009 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(87 ms)
start:228757 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(87 ms)
start:229534 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(96 ms)
start:230332 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(94 ms)
start:231079 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(84 ms)
start:231815 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(75 ms)
start:232554 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(85 ms)
start:233317 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(95 ms)
start:234083 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(87 ms)
start:234842 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(98 ms)
start:235642 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(92 ms)
start:236412 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(88 ms)
